1,2
2,69
3,42
4,29
5,60
6,51
7,57
21,82
9,20
10,40
11,37
12,5
13,41
59,86
15,22
16,43
83,48
18,6
19,80
20,45
8,67
22,50
23,30
24,72
25,75
26,88
27,71
28,38
29,89
30,39
31,90
32,87
33,83
34,62
35,63
36,33
37,44
38,15
39,8
40,81
41,12
42,58
43,10
44,65
45,53
46,18
47,76
48,79
49,64
50,11
51,3
52,70
53,46
54,25
55,23
56,24
57,54
58,19
14,16
60,77
61,9
62,59
63,35
64,26
65,32
66,84
67,21
68,74
69,73
70,27
71,66
72,4
73,56
74,68
75,49
76,52
77,85
78,31
79,13
80,91
81,47
82,55
17,61
84,36
85,17
86,28
87,1
88,78
89,14
90,7
91,34
1,3
2,55
3,52
4,26
5,66
6,54
7,34
8,88
45,58
10,84
11,79
12,1
13,22
59,85
15,67
16,36
83,56
18,14
19,80
20,71
21,73
22,45
23,23
24,72
25,70
26,83
27,60
28,27
29,87
30,64
31,81
32,86
33,90
34,78
35,32
36,42
37,46
38,21
39,39
40,75
41,7
42,38
43,4
44,51
9,8
46,13
47,77
48,62
49,49
50,18
51,6
52,65
53,43
54,28
55,35
56,9
57,63
58,47
14,16
60,69
61,10
62,12
63,33
64,11
65,61
66,82
67,17
68,76
69,41
70,68
71,29
72,30
73,37
74,40
75,19
76,57
77,89
78,74
79,15
80,91
81,59
82,50
17,24
84,25
85,44
86,48
87,2
88,53
89,5
90,20
91,31
